State Postal Code,County Name,Number of Trips,Number of Trips <1,Number of Trips 1-3,Number of Trips 3-5,Number of Trips 5-10,Number of Trips 10-25,Number of Trips 25-50,Number of Trips 50-100,Number of Trips 100-250,Number of Trips 250-500,Number of Trips >=500
IA,Sioux County,4483089,1300016,1119137,353444,535222,762579,222074,137409,48260,2780,2168
MI,Midland County,9613024,2589031,2281457,1148909,1245341,1557190,526023,147998,106082,8477,2516
SD,Jackson County,374743,83141,57638,72815,31383,52622,47755,13405,14388,1242,354
CA,Marin County,19148287,5262025,4990906,2257362,2601605,2687413,1022111,182229,93744,23995,26897
NY,Hamilton County,603040,107399,71023,59141,87710,180527,76968,16203,3355,657,57
LA,St. Helena Parish,1280281,215302,222846,188827,249484,238179,106950,40116,13477,3875,1225
NC,Pitt County,20212988,4814336,4778425,2948237,3490850,2536742,983282,460205,168514,24702,7695
MO,Bates County,2086957,536375,466068,165559,253660,375290,147702,111975,21155,8010,1163
MS,Monroe County,3443528,826413,872461,325004,515666,564450,217896,69847,35000,15536,1255
MT,Flathead County,9681817,2337294,2449692,1099009,1317679,1927105,365158,103404,57068,11882,13526
KS,Lane County,167657,28428,22981,7229,13615,65119,12438,12527,4567,674,79
CA,,3763919268,1026300727,929650306,448865498,543790061,525078232,188931807,67329644,24946564,5725315,3301114
LA,Sabine Parish,2892335,584454,607812,348342,458103,551639,200122,108042,27771,4267,1783
ND,Foster County,290262,89294,59161,11657,9576,78444,15011,20764,5802,285,268
GA,Bulloch County,8296079,1616535,1856078,1033168,1567933,1258979,591021,276384,75835,17056,3090
MT,Park County,1657805,406567,489826,171346,122339,231051,192032,35566,7447,382,1249
IL,Schuyler County,827148,231767,240141,51791,67926,141124,59017,26967,7710,318,387
KY,Leslie County,919292,123155,121329,146979,198061,237236,76576,13101,1888,967,0
OR,Jackson County,22933549,5656377,5872086,2899023,3709352,3352790,968147,231135,173516,63985,7138
NM,McKinley County,8237497,1803060,2060673,950987,1126296,1226130,616838,239814,192219,12663,8817
TX,Kent County,68189,9142,8805,2607,2209,29824,9962,3568,925,319,828
IA,Dallas County,10410915,2597868,2207024,1092244,1599067,1946866,685231,151366,103748,18334,9167
MN,Stevens County,1365365,337181,182564,135787,283319,277644,94762,44116,9460,386,146
TN,Gibson County,4858564,1035780,1090747,515066,660472,944600,418434,124322,60393,7207,1543
MI,Osceola County,3220568,668062,802196,431033,445714,548030,218214,68272,33331,3551,2165
KY,Calloway County,4020904,939181,934320,518251,537909,704120,256821,81423,38452,9041,1386
MN,Marshall County,1419285,402109,257488,89052,181076,256150,172319,47374,10900,2687,130
KY,Kenton County,18921121,5300217,4284131,2368666,3365953,2664098,595501,225006,82241,22521,12787
WI,Taylor County,2532337,562484,511557,240335,440194,439615,223961,85157,21651,7109,274
GA,Wheeler County,975398,174583,135406,130048,202078,191631,87593,30026,22302,1459,272
UT,Millard County,1459892,227468,392653,223935,145417,203677,121178,94246,48880,1926,512
WI,Winnebago County,20802824,5865834,5210157,2540907,2880875,2740093,935369,385079,203549,31654,9307
MN,Lake County,1272359,426713,301587,98831,111923,88618,178005,50396,15382,625,279
IA,Dickinson County,2290865,654537,534800,307585,398784,250982,79351,36772,25270,1435,1349
IL,Livingston County,4012982,997292,1038155,271952,494934,669595,337945,144233,50430,5699,2747
IL,Calhoun County,450794,53226,97893,41525,56955,97524,61877,31815,7843,1511,625
SD,Hyde County,326984,188822,33678,11524,8115,43084,30017,10818,903,23,0
NC,Scotland County,3924413,815893,1115421,402741,654103,576559,234469,63492,56115,4957,663
TX,Throckmorton County,247557,59272,81118,20366,26205,25866,23505,9002,2223,0,0
MO,Holt County,548691,136630,156478,55248,62233,60703,62785,8900,4762,369,583
AL,Limestone County,8818242,1809711,1752774,1015256,1661834,1910838,462346,111323,79706,11586,2868
MT,Lewis and Clark County,6465178,1535117,1854912,846047,1062000,812756,161980,110374,65664,4933,11395
NC,Wilkes County,6492295,1147960,1468118,979032,1286521,992145,381785,190957,34013,10591,1173
IA,Cherokee County,1357558,249520,406275,172017,119530,220236,119630,46422,20156,2920,852
OR,Multnomah County,80557017,25239033,19223150,10414605,13250414,9741894,1386667,754898,374621,62719,109016
NJ,Middlesex County,82230097,22827171,18562014,9712935,13191268,11550881,5135484,863852,299488,54373,32631
IN,Bartholomew County,9460141,2593259,2151103,1369650,1336053,1271979,500257,178930,44182,10053,4675
TN,Roane County,5373642,1219118,1241495,613278,892473,908946,350027,95123,41700,8224,3258
IN,Hamilton County,36406169,9712166,8496252,4217249,6106132,5675207,1463089,370577,267558,53321,44618
NC,Caldwell County,8389164,1830689,1959423,899219,1777280,1429290,309774,120997,47292,13545,1655
IN,Daviess County,4421161,1175330,1152449,425266,699422,542059,234897,147951,32154,10292,1341
WV,Putnam County,4869834,1233569,891973,625734,787014,864231,299656,89365,66943,9790,1559
VA,Lexington city,751045,298089,207465,22646,52909,119960,30549,13903,5150,269,105
CO,Moffat County,1560655,501163,541957,132590,73935,105887,168816,24552,10677,495,583
MO,Laclede County,3654985,768260,1000794,437336,467091,511410,219810,160307,78830,9347,1800
PA,Potter County,1934898,406085,286189,378998,322280,363954,115001,45008,15357,1549,477
MO,Hickory County,1271170,245468,307840,198334,215914,151788,86222,40051,23435,1370,748
NE,Garden County,379104,49323,35991,194690,24013,32135,24381,11172,6820,308,271
IL,Morgan County,3808195,1208453,1129331,339934,364736,412008,233979,84681,29381,4242,1450
MS,Webster County,1087935,179957,242852,126319,160254,211696,111561,43904,9150,1914,328
PA,Forest County,869497,151300,191820,115005,124884,139565,106307,29791,9234,1162,429
TX,Erath County,4387110,1137341,1096706,399504,514591,730133,288971,157598,54530,5460,2276
IL,Adams County,7842546,2363409,2505117,1006648,788649,677612,306032,90334,87208,15290,2247
OH,Pike County,2805098,493701,653324,341884,465455,506516,203526,113959,24153,2275,305
MN,Benton County,5261265,1502893,1012908,672881,675691,808616,339172,201064,41419,3276,3345
NY,Schenectady County,20595819,6404118,5366878,2838312,2400052,2664201,552951,217012,130832,12653,8810
OK,Comanche County,12902435,3487826,3722105,1794266,1754460,1409023,316632,251981,141135,15390,9617
SC,Charleston County,45300825,13232556,10708156,5874741,8001239,5986799,901470,255344,259652,58563,22305
CT,New London County,29465229,7326073,7422093,3675898,4552456,4592387,1272224,542642,70154,4596,6706
MO,Stone County,3372154,676977,820144,396538,589459,537979,224743,69465,43882,10173,2794
IN,Greene County,4044253,941482,800929,411163,637318,747866,382550,92737,22992,6150,1066
KS,Pottawatomie County,3390893,911985,880482,371874,447261,469641,209127,63708,30291,4663,1861
MS,Marshall County,3512006,634264,755879,460903,440777,784429,327090,61557,35414,9877,1816
MA,Middlesex County,190961973,53732820,50887627,22416595,26241817,26884963,8107246,1842352,650773,85666,112114
MS,Scott County,2771140,556424,631098,330712,351263,582107,226331,71409,15833,5647,316
OH,Scioto County,6805235,1537689,1412466,739235,1330226,1154712,365374,176431,77804,10305,993
AR,Clay County,1245106,208251,385164,117024,156171,183615,128440,42057,21542,2608,234
UT,Emery County,866525,197893,237905,58088,73412,168619,94715,23831,11287,775,0
VA,Rockingham County,9224693,1737903,1918688,1294253,1874820,1820660,356507,126578,80139,12078,3067
MI,Keweenaw County,218709,55161,30780,11074,17947,63594,35890,2194,1753,316,0
OK,Texas County,2122806,749641,543885,165045,102376,304892,137574,81933,31550,4890,1020
IN,,864371394,232936174,205810906,107032712,133458196,122762694,40748490,13521315,6397004,1201118,502785
WV,Pocahontas County,688861,147959,127344,72467,145509,102200,49180,32727,9056,2298,121
IN,Benton County,1069085,249967,161586,108541,152460,230190,140480,20244,4911,370,336
