Date,FIPS,MMWR_week,Recip_County,Recip_State,Series_Complete_Pop_Pct,Series_Complete_Yes,Series_Complete_12Plus,Series_Complete_12PlusPop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct,Completeness_pct,Administered_Dose1_Recip,Administered_Dose1_Pop_Pct,Administered_Dose1_Recip_12Plus,Administered_Dose1_Recip_12PlusPop_Pct,Administered_Dose1_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_Dose1_Recip_65Plus,Administered_Dose1_Recip_65PlusPop_Pct,SVI_CTGY,Series_Complete_Pop_Pct_SVI,Series_Complete_12PlusPop_Pct_SVI,Series_Complete_18PlusPop_Pct_SVI,Series_Complete_65PlusPop_Pct_SVI
5/1/2021,46061,17,Hanson ,SD,21.3,737,737,26.5,734,30.5,349,65.1,80.4,,0,,0,,0,,0,Low,Low VC/Low SVI,Low VC/Low SVI,Low-Mod VC/Low SVI,Mod-High VC/Low SVI
5/1/2021,20145,17,Pawnee ,KS,35.3,2262,2262,39.2,2260,42.1,964,69.9,93.1,2533,39.5,2533,43.9,2529,47.1,1023,74.1,Low-Mod,Low-Mod VC/Low-Mod SVI,Low-Mod VC/Low-Mod SVI,Mod-High VC/Low-Mod SVI,Mod-High VC/Low-Mod SVI
5/1/2021,18021,17,Clay ,IN,29.9,7839,7839,35.1,7834,38.7,4110,86,98.5,9455,36.1,9455,42.3,9385,46.4,4399,92,Low-Mod,Low VC/Low-Mod SVI,Low-Mod VC/Low-Mod SVI,Low-Mod VC/Low-Mod SVI,High VC/Low-Mod SVI
5/1/2021,22085,17,Sabine Parish,LA,17.5,4176,4176,20.5,4173,22.7,2438,48.2,95.2,5276,22.1,5275,25.9,5267,28.7,2752,54.4,High,Low VC/High SVI,Low VC/High SVI,Low VC/High SVI,Low-Mod VC/High SVI
5/1/2021,51620,17,Franklin city,VA,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,Mod-High,,,,
5/1/2021,48139,17,Ellis ,TX,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,Low-Mod,,,,
5/1/2021,37057,17,Davidson ,NC,24.9,41809,41802,28.9,41475,31.6,18483,59.5,96.4,51210,30.6,51199,35.4,50596,38.5,20329,65.4,Mod-High,Low VC/Mod-High SVI,Low VC/Mod-High SVI,Low-Mod VC/Mod-High SVI,Mod-High VC/Mod-High SVI
5/1/2021,28147,17,Walthall ,MS,19.1,2724,2724,22.2,2721,24.6,1321,46.4,98.6,3212,22.5,3212,26.2,3204,28.9,1488,52.3,High,Low VC/High SVI,Low VC/High SVI,Low VC/High SVI,Low-Mod VC/High SVI
5/1/2021,48363,17,Palo Pinto ,TX,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,High,,,,
5/1/2021,19089,17,Howard ,IA,31.3,2862,2862,37.2,2850,41.5,1439,75.3,97.4,3496,38.2,3496,45.5,3477,50.6,1563,81.8,Low,Low-Mod VC/Low SVI,Low-Mod VC/Low SVI,Mod-High VC/Low SVI,High VC/Low SVI
5/1/2021,20097,17,Kiowa ,KS,30,743,743,35.5,742,38.9,357,63.5,93.1,847,34.2,847,40.4,844,44.3,386,68.7,Low-Mod,Low-Mod VC/Low-Mod SVI,Low-Mod VC/Low-Mod SVI,Low-Mod VC/Low-Mod SVI,Mod-High VC/Low-Mod SVI
5/1/2021,36063,17,Niagara ,NY,34.2,71580,71580,39.3,71309,42.6,28469,69.7,97.2,95208,45.5,95207,52.3,94073,56.1,32779,80.2,Low-Mod,Low-Mod VC/Low-Mod SVI,Low-Mod VC/Low-Mod SVI,Mod-High VC/Low-Mod SVI,Mod-High VC/Low-Mod SVI
5/1/2021,35053,17,Socorro ,NM,32.7,5447,5447,38.3,5371,41.5,1556,46.6,76.1,5529,33.2,,0,,0,,0,High,Low-Mod VC/High SVI,Low-Mod VC/High SVI,Mod-High VC/High SVI,Low-Mod VC/High SVI
5/1/2021,48395,17,Robertson ,TX,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,High,,,,
5/1/2021,51103,17,Lancaster ,VA,26,2758,2758,28.8,2756,30.7,1713,44.1,50,3318,31.3,3318,34.7,3305,36.9,1937,49.8,Low,Low VC/Low SVI,Low VC/Low SVI,Low-Mod VC/Low SVI,Low-Mod VC/Low SVI
5/1/2021,40021,17,Cherokee ,OK,26.1,12677,12677,30.4,12548,32.9,4736,57.3,93.1,15811,32.5,15811,37.9,15633,41,5284,63.9,High,Low VC/High SVI,Low-Mod VC/High SVI,Low-Mod VC/High SVI,Mod-High VC/High SVI
5/1/2021,36075,17,Oswego ,NY,32.9,38537,38537,38.1,38368,41.4,13596,69.1,97.2,45604,38.9,45602,45,45073,48.7,14649,74.4,Mod-High,Low-Mod VC/Mod-High SVI,Low-Mod VC/Mod-High SVI,Mod-High VC/Mod-High SVI,Mod-High VC/Mod-High SVI
5/1/2021,29131,17,Miller ,MO,16.3,4176,4176,19.3,4172,21.3,2176,43.4,90.7,5432,21.2,5432,25.1,5416,27.6,2570,51.3,Mod-High,Low VC/Mod-High SVI,Low VC/Mod-High SVI,Low VC/Mod-High SVI,Low-Mod VC/Mod-High SVI
