County,State,Total Households,No vehicle available,1 vehicle available,2 vehicles available,3 vehicles available,4 or more vehicles available
Sanders ,MT,5036,181,1364,1788,1180,523
Sheridan ,MT,1639,74,359,603,418,185
Silver Bow ,MT,14960,1328,4545,5087,2308,1692
Stillwater ,MT,3761,97,766,1463,965,470
Sweet Grass ,MT,1566,48,451,460,350,257
Teton ,MT,2464,107,481,848,552,476
Toole ,MT,1867,267,420,618,331,231
Treasure ,MT,351,9,54,165,70,53
Wheatland ,MT,792,50,177,247,181,137
Wibaux ,MT,498,15,78,228,103,74
Yellowstone ,MT,66385,3500,18155,24691,12691,7348
Adams ,NE,12712,892,3611,4811,2127,1271
Antelope ,NE,2714,89,653,959,638,375
Arthur ,NE,197,0,43,43,59,52
Banner ,NE,283,7,47,66,65,98
Blaine ,NE,213,0,55,77,32,49
Boone ,NE,2311,92,527,680,668,344
Box Butte ,NE,4743,276,1251,1647,883,686
Boyd ,NE,904,31,202,279,209,183
Brown ,NE,1387,42,294,502,356,193
Buffalo ,NE,19062,891,5021,7698,3578,1874
Burt ,NE,2856,127,757,1125,520,327
Butler ,NE,3363,95,769,1132,769,598
Cass ,NE,9945,318,2253,3667,2356,1351
Cedar ,NE,3506,110,705,1335,843,513
Chase ,NE,1679,53,371,505,451,299
Cherry ,NE,2537,126,682,902,482,345
Cheyenne ,NE,4395,213,1403,1536,723,520
Clay ,NE,2539,51,575,1020,580,313
Colfax ,NE,3731,161,725,1321,909,615
Cuming ,NE,3727,168,866,1487,858,348
Custer ,NE,4862,265,1336,1544,1030,687
Dakota ,NE,7404,411,1787,2780,1635,791
Dawes ,NE,3525,195,975,1230,613,512
Dawson ,NE,8965,516,2370,2990,1916,1173
Deuel ,NE,830,33,194,347,145,111
Dixon ,NE,2352,104,464,817,510,457
Dodge ,NE,15261,895,4190,6238,2473,1465
Douglas ,NE,218061,15521,75228,87568,27676,12068
Dundy ,NE,872,29,256,336,120,131
Fillmore ,NE,2510,58,666,883,541,362
Franklin ,NE,1377,35,319,528,292,203
Frontier ,NE,1135,42,250,374,273,196
Furnas ,NE,2128,100,494,832,473,229
Gage ,NE,8979,384,2476,3072,1888,1159
Garden ,NE,868,20,201,341,160,146
Garfield ,NE,884,15,195,323,147,204
Gosper ,NE,942,26,137,356,309,114
Grant ,NE,288,5,72,112,49,50
Greeley ,NE,1019,24,228,345,270,152
Hall ,NE,23096,1084,7003,8642,4063,2304
Hamilton ,NE,3713,115,857,1400,858,483
Harlan ,NE,1521,27,378,558,387,171
Hayes ,NE,403,10,99,119,71,104
Hitchcock ,NE,1243,45,333,414,262,189
Holt ,NE,4487,150,1053,1609,1039,636
Hooker ,NE,318,3,75,64,107,69
Howard ,NE,2720,150,511,888,679,492
Jefferson ,NE,3302,195,891,1207,518,491
Johnson ,NE,1809,97,380,646,428,258
Kearney ,NE,2666,171,610,955,536,394
Keith ,NE,3882,204,1029,1456,672,521
Keya Paha ,NE,304,0,57,71,81,95
Kimball ,NE,1577,83,426,621,286,161
Knox ,NE,3586,169,843,1343,677,554
Lancaster ,NE,124324,6859,41001,49605,18301,8558
Lincoln ,NE,14856,903,4209,5407,2742,1595
Logan ,NE,347,0,43,125,64,115
Loup ,NE,294,1,34,109,82,68
McPherson ,NE,191,2,38,54,36,61
Madison ,NE,14205,904,3749,5689,2508,1355
Merrick ,NE,3373,237,662,1102,648,724
Morrill ,NE,1954,77,506,741,385,245
Nance ,NE,1546,54,407,501,346,238
Nemaha ,NE,2977,116,846,935,697,383
Nuckolls ,NE,1867,114,502,660,332,259
Otoe ,NE,6510,392,1662,2142,1492,822
Pawnee ,NE,1222,112,214,413,266,217
Perkins ,NE,1228,58,256,414,234,266
Phelps ,NE,3905,172,926,1498,848,461
Pierce ,NE,3022,103,683,1021,662,553
Platte ,NE,12947,676,3154,5178,2498,1441
Polk ,NE,2052,80,415,698,510,349
Red Willow ,NE,4519,250,1212,1644,891,522
Richardson ,NE,3704,108,1159,1372,732,333
Rock ,NE,623,12,153,239,146,73
Saline ,NE,5157,89,1263,1933,1183,689
Sarpy ,NE,66260,1953,17142,30161,12052,4952
Saunders ,NE,8501,320,1667,3112,1991,1411
Scotts Bluff ,NE,14732,773,4765,5100,2661,1433
Seward ,NE,6600,228,1352,2465,1643,912
Sheridan ,NE,2273,150,576,864,405,278
Sherman ,NE,1368,40,254,438,356,280
Sioux ,NE,544,34,96,172,96,146
Stanton ,NE,2418,80,378,968,541,451
Thayer ,NE,2244,114,537,869,450,274
Thomas ,NE,277,0,53,81,80,63
Thurston ,NE,2176,174,725,693,401,183
Valley ,NE,1865,91,365,628,490,291
Washington ,NE,8185,352,2040,3042,1595,1156
Wayne ,NE,3708,91,859,1376,818,564
Webster ,NE,1507,86,366,470,317,268
Wheeler ,NE,346,5,53,123,106,59
York ,NE,5656,206,1546,2235,1051,618
Churchill ,NV,9940,362,2633,3507,1665,1773
Clark ,NV,783524,63226,293332,287093,98745,41128
Douglas ,NV,20741,517,4865,8539,4527,2293
Elko ,NV,18065,565,4481,6786,3694,2539
Esmeralda ,NV,491,47,151,151,96,46
Eureka ,NV,774,39,112,321,134,168
Humboldt ,NV,6500,276,1573,1996,1634,1021
Lander ,NV,2198,140,336,737,726,259
Lincoln ,NV,2018,104,510,582,458,364
Lyon ,NV,21189,799,5436,8386,4194,2374
Mineral ,NV,2048,136,784,723,286,119
Nye ,NV,19088,835,6427,7095,3097,1634
Pershing ,NV,1948,121,656,477,433,261
Storey ,NV,1627,16,472,597,289,253
Washoe ,NV,182180,12170,57184,67330,30225,15271
White Pine ,NV,3516,82,906,1187,855,486
Carson City,NV,22755,1303,7889,7799,3628,2136
Belknap ,NH,25052,1072,7997,10444,3383,2156
Carroll ,NH,21456,1001,6972,9047,2963,1473
Cheshire ,NH,30141,1741,9698,11831,4508,2363
Coos ,NH,13768,1208,4877,5263,1814,606
Grafton ,NH,34727,2290,12178,13583,4958,1718
Hillsborough ,NH,161086,9164,47892,67579,24691,11760
Merrimack ,NH,58452,3175,16706,24497,9448,4626
Rockingham ,NH,121045,3578,32005,51982,21815,11665
Strafford ,NH,48982,3120,14656,20056,7486,3664
Sullivan ,NH,17328,1043,5173,7217,2822,1073
Atlantic ,NJ,99850,13027,34015,34869,12745,5194
Bergen ,NJ,339856,28187,115929,132896,44048,18796
Burlington ,NJ,166391,7679,51187,67157,27783,12585
Camden ,NJ,187383,20568,64261,69312,22964,10278
Cape May ,NJ,40171,2943,14326,15934,4816,2152
Cumberland ,NJ,50729,5133,17053,17848,7548,3147
Essex ,NJ,285908,63994,109760,81574,22795,7785
Gloucester ,NJ,104908,5668,30173,43488,17024,8555
Hudson ,NJ,258591,84192,114479,45327,11481,3112
Hunterdon ,NJ,47175,1584,11242,19916,9166,5267
Mercer ,NJ,129936,14502,42871,49045,16285,7233
Middlesex ,NJ,285005,22732,96167,111102,37742,17262
Monmouth ,NJ,235362,16282,69922,94735,36180,18243
Morris ,NJ,181884,8622,51006,76765,30938,14553
Ocean ,NJ,226160,14147,80443,86826,30357,14387
Passaic ,NJ,165429,27445,58450,52087,18666,8781
Salem ,NJ,23933,1848,7180,8606,4206,2093
Somerset ,NJ,118193,5739,34009,50010,20159,8276
Sussex ,NJ,53322,1870,13110,23281,10061,5000
Union ,NJ,190101,22344,65468,68698,23662,9929
Warren ,NJ,41587,2680,12664,15838,7040,3365
Bernalillo ,NM,267699,17900,95549,99779,38612,15859
Catron ,NM,1325,12,223,619,336,135
Chaves ,NM,23284,1204,7982,8463,3850,1785
Cibola ,NM,8708,643,2999,2436,1810,820
Colfax ,NM,5853,422,1917,2091,960,463
Curry ,NM,18548,749,6435,6816,3064,1484
De Baca ,NM,672,37,272,211,86,66
Doña Ana ,NM,77842,4732,23665,28955,13776,6714
Eddy ,NM,21251,1044,5889,7648,4104,2566
Grant ,NM,11851,834,4130,3869,2097,921
Guadalupe ,NM,1384,109,695,374,135,71
Harding ,NM,211,19,64,55,46,27
Hidalgo ,NM,1679,113,609,460,301,196
Lea ,NM,22523,980,6068,8609,4371,2495
Lincoln ,NM,7566,358,2383,2641,1142,1042
Los Alamos ,NM,7931,279,2093,3328,1288,943
Luna ,NM,8904,727,3302,2876,1362,637
McKinley ,NM,20942,2299,8278,6006,2777,1582
Mora ,NM,1713,101,506,538,285,283
Otero ,NM,23634,1550,7774,9288,3316,1706
Quay ,NM,3040,202,1362,842,473,161
Rio Arriba ,NM,12730,714,3080,4419,2697,1820
Roosevelt ,NM,6814,323,2465,2335,1111,580
Sandoval ,NM,51001,1455,14722,19814,9781,5229
San Juan ,NM,43387,1996,13374,16445,7169,4403
San Miguel ,NM,11609,892,3565,4142,1889,1121
Santa Fe ,NM,61921,2243,20983,23061,10170,5464
Sierra ,NM,5555,404,2055,1963,733,400
Socorro ,NM,4520,391,1669,1233,976,251
Taos ,NM,12103,693,4482,4125,1625,1178
Torrance ,NM,5644,168,1479,1944,1281,772
Union ,NM,1395,89,426,523,247,110
Valencia ,NM,27010,942,7148,10103,5665,3152
Albany ,NY,126540,16967,47789,44372,13287,4125
Allegany ,NY,17948,1541,6122,6827,2448,1010
Bronx ,NY,503829,297663,149985,45706,7820,2655
Broome ,NY,78549,9511,29261,27085,8990,3702
Cattaraugus ,NY,31779,3421,11455,11706,3755,1442
Cayuga ,NY,31221,3143,10654,11739,4072,1613
Chautauqua ,NY,53075,6314,19754,18856,6189,1962
Chemung ,NY,33989,3670,11826,12694,4531,1268
Chenango ,NY,20697,1788,7019,7579,2974,1337
Clinton ,NY,31301,2967,10874,11402,4615,1443
Columbia ,NY,24966,1720,8044,9838,3850,1514
Cortland ,NY,17745,1450,5788,6972,2461,1074
Delaware ,NY,18968,1635,6866,6855,2404,1208
Dutchess ,NY,108413,8459,35814,40743,16170,7227
Erie ,NY,389585,51483,150025,136679,37071,14327
Essex ,NY,15790,1364,5379,6363,1874,810
Franklin ,NY,19015,1962,6362,8055,2011,625
Fulton ,NY,22557,2090,7831,8704,2530,1402
Genesee ,NY,23759,2006,7674,9120,3420,1539
Greene ,NY,17100,1462,5854,6297,2262,1225
Hamilton ,NY,1157,48,355,553,155,46
Herkimer ,NY,24524,2378,8703,9500,2838,1105
Jefferson ,NY,42734,3902,15580,16841,4765,1646
Kings ,NY,958567,534368,326387,79811,14001,4000
Lewis ,NY,10247,459,2847,4563,1675,703
Livingston ,NY,24176,1758,7273,9922,3673,1550
Madison ,NY,25877,1434,8609,10615,3887,1332
Monroe ,NY,301948,34118,110306,113632,31408,12484
Montgomery ,NY,19660,2585,6873,6813,2484,905
Nassau ,NY,446977,30742,128297,182622,70537,34779
New York ,NY,759460,584710,153466,17616,2666,1002
Niagara ,NY,88519,8553,32375,32724,10463,4404
Oneida ,NY,89729,9574,34200,31781,9883,4291
Onondaga ,NY,185324,22347,68380,68974,19221,6402
Ontario ,NY,44787,3194,14471,18320,6194,2608
Orange ,NY,128016,12535,39753,46187,20019,9522
Orleans ,NY,16563,1404,5437,6529,2153,1040
Oswego ,NY,46079,3848,14969,17748,6963,2551
Otsego ,NY,23409,2063,8580,8495,3183,1088
Putnam ,NY,34854,1708,8832,14203,6576,3535
Queens ,NY,778932,286141,314674,135001,32841,10275
Rensselaer ,NY,64906,6584,22741,23996,8113,3472
Richmond ,NY,166246,27822,58652,56137,16898,6737
Rockland ,NY,100438,10792,29810,38938,14034,6864
St. Lawrence ,NY,41933,4207,14657,15990,5334,1745
Saratoga ,NY,94406,4112,29518,41657,13943,5176
Schenectady ,NY,54302,6331,19657,19721,6214,2379
Schoharie ,NY,12559,866,4262,4523,1945,963
Schuyler ,NY,7324,413,2491,2740,1250,430
Seneca ,NY,13564,1113,4454,5393,1768,836
Steuben ,NY,39861,3677,13569,15083,5327,2205
Suffolk ,NY,489301,25659,130711,190138,90174,52619
Sullivan ,NY,28184,2885,10200,10054,3502,1543
Tioga ,NY,20030,1099,6509,7670,3246,1506
Tompkins ,NY,39618,5578,14821,13546,3945,1728
Ulster ,NY,69320,4836,23585,26148,10304,4447
Warren ,NY,28015,2647,9249,11255,3807,1057
Washington ,NY,24014,1743,7617,9504,3593,1557
Wayne ,NY,36720,2630,11426,14290,5584,2790
Westchester ,NY,349292,50567,123385,118076,40731,16533
Wyoming ,NY,15917,1007,5222,6437,2279,972
Yates ,NY,8919,1092,2599,3348,1287,593
Alamance ,NC,64439,3264,20059,23267,12360,5489
Alexander ,NC,14169,516,3548,4753,3270,2082
Alleghany ,NC,4920,284,1193,2089,967,387
Anson ,NC,9521,843,3130,2646,1665,1237
Ashe ,NC,11938,727,3142,4876,2245,948
Avery ,NC,6551,274,2168,2281,1155,673
Beaufort ,NC,19701,1379,6042,7285,3419,1576
Bertie ,NC,7909,789,2393,2154,1513,1060
Bladen ,NC,13636,1266,3952,4188,2698,1532
Brunswick ,NC,56056,2113,16360,26204,8411,2968
Buncombe ,NC,107479,5562,37926,41993,15386,6612
Burke ,NC,35156,1706,9943,13071,6780,3656
Cabarrus ,NC,72238,3153,19166,30517,13729,5673
Caldwell ,NC,32864,1577,9871,11083,6768,3565
Camden ,NC,3933,115,806,1503,1070,439
Carteret ,NC,29755,1302,9321,12067,5053,2012
Caswell ,NC,9145,829,2276,2619,2132,1289
Catawba ,NC,62319,3077,18387,23749,11383,5723
Chatham ,NC,29033,1274,8030,11444,5548,2737
Cherokee ,NC,12471,518,4096,4734,2063,1060
Chowan ,NC,6133,636,1726,2475,867,429
Clay ,NC,4996,388,1574,1925,708,401
Cleveland ,NC,35638,2840,10798,12494,6097,3409
Columbus ,NC,21580,1511,6896,7180,3568,2425
Craven ,NC,41226,2620,13603,15829,6362,2812
Cumberland ,NC,125427,8481,48193,45138,16957,6658
Currituck ,NC,10522,263,2202,4224,2571,1262
Dare ,NC,15529,432,4716,6927,2627,827
Davidson ,NC,66653,3657,18888,23400,13516,7192
Davie ,NC,16405,446,4102,5850,3740,2267
Duplin ,NC,21466,1369,6261,7452,4035,2349
Durham ,NC,125953,9888,48052,47985,14647,5381
Edgecombe ,NC,21151,2341,7566,6275,3095,1874
Forsyth ,NC,146816,10898,50849,53034,22577,9458
Franklin ,NC,25381,1140,6544,10076,4787,2834
Gaston ,NC,83735,4632,26636,31698,14248,6521
Gates ,NC,4638,219,864,1813,1071,671
Graham ,NC,3393,215,912,1233,710,323
Granville ,NC,21400,982,5428,7530,4848,2612
Greene ,NC,7164,550,1891,2627,1218,878
Guilford ,NC,203987,13122,73728,74944,28892,13301
Halifax ,NC,21017,2388,7017,5896,3373,2343
Harnett ,NC,45416,2216,12245,17829,8785,4341
Haywood ,NC,26653,1360,8106,9972,4670,2545
Henderson ,NC,49221,2108,15905,19367,8312,3529
Hertford ,NC,8845,816,3028,2569,1572,860
Hoke ,NC,17799,826,5149,7188,3220,1416
Hyde ,NC,1947,6,782,772,295,92
Iredell ,NC,66369,2298,17810,26714,12841,6706
Jackson ,NC,16773,965,5039,6779,2746,1244
Johnston ,NC,68968,2883,18019,27816,13521,6729
Jones ,NC,4045,261,1289,1599,627,269
Lee ,NC,21894,1213,6725,7465,4551,1940
Lenoir ,NC,23148,2648,7896,7286,3738,1580
Lincoln ,NC,32894,1173,7856,12574,7453,3838
McDowell ,NC,18173,1053,4729,7198,3329,1864
Macon ,NC,15921,841,5238,5943,2789,1110
Madison ,NC,8403,444,2162,3375,1492,930
Martin ,NC,9378,753,2978,3089,1799,759
Mecklenburg ,NC,411097,23605,154951,163502,50565,18474
Mitchell ,NC,6344,391,2004,2267,1113,569
Montgomery ,NC,10195,617,2818,3933,1608,1219
Moore ,NC,39821,1756,12115,16249,6081,3620
Nash ,NC,37011,2935,10715,12700,6759,3902
New Hanover ,NC,95638,6210,33366,39341,12056,4665
Northampton ,NC,8547,857,2624,2441,1763,862
Onslow ,NC,64386,3114,20431,28095,8756,3990
Orange ,NC,53376,2852,17441,20544,8872,3667
Pamlico ,NC,5416,360,1636,1998,969,453
Pasquotank ,NC,14697,1264,4584,5018,2415,1416
Pender ,NC,21740,779,5740,8767,4270,2184
Perquimans ,NC,5936,329,1847,2181,1133,446
Person ,NC,15896,873,3838,5428,3658,2099
Pitt ,NC,69799,6073,22832,24603,11193,5098
Polk ,NC,9071,510,2604,3507,1494,956
Randolph ,NC,56541,2823,16145,19675,11487,6411
Richmond ,NC,18380,1782,6203,6227,2689,1479
Robeson ,NC,45927,4300,14612,14746,7610,4659
Rockingham ,NC,37388,2593,10731,12449,7426,4189
Rowan ,NC,52843,2942,15323,18541,10457,5580
Rutherford ,NC,26683,2007,8161,9419,4513,2583
Sampson ,NC,23416,1666,6782,7464,4237,3267
Scotland ,NC,12922,1426,4608,4093,1805,990
Stanly ,NC,23332,1035,5638,8934,4820,2905
Stokes ,NC,19578,617,5135,7122,3927,2777
Surry ,NC,29153,1920,8095,9970,5580,3588
Swain ,NC,5620,404,2006,2041,789,380
Transylvania ,NC,14567,548,4456,6349,2114,1100
Tyrrell ,NC,1594,118,521,541,324,90
Union ,NC,76346,1936,14857,33674,17405,8474
Vance ,NC,16875,1731,6155,5132,2442,1415
Wake ,NC,400172,15878,121660,176136,62420,24078
Warren ,NC,7786,698,2555,2472,1273,788
Washington ,NC,4977,761,1460,1772,484,500
Watauga ,NC,21077,1017,6344,8617,3472,1627
Wayne ,NC,48343,4250,14943,16903,8314,3933
Wilkes ,NC,28753,1525,7696,9956,5832,3744
Wilson ,NC,32014,3046,10654,10743,5018,2553
Yadkin ,NC,15425,835,3732,5360,3325,2173
Yancey ,NC,7510,443,1788,2852,1619,808
Adams ,ND,1035,26,283,338,203,185
Barnes ,ND,5074,276,1431,1837,947,583
Benson ,ND,2248,186,711,611,402,338
Billings ,ND,383,5,68,102,124,84
Bottineau ,ND,2992,72,756,974,757,433
Bowman ,ND,1350,53,299,456,393,149
Burke ,ND,905,22,171,282,199,231
Burleigh ,ND,39507,2061,12116,15208,6389,3733
Cass ,ND,75843,4343,24086,32621,9733,5060
Cavalier ,ND,1737,27,405,744,371,190
Dickey ,ND,2119,80,498,790,382,369
Divide ,ND,1061,33,315,219,254,240
Dunn ,ND,1692,21,388,523,385,375
Eddy ,ND,1062,60,224,412,194,172
Emmons ,ND,1585,45,422,620,337,161
Foster ,ND,1423,72,328,522,285,216
Golden Valley ,ND,842,40,166,361,89,186
Grand Forks ,ND,30502,1766,10673,11475,4714,1874
Grant ,ND,1074,25,191,379,229,250
Griggs ,ND,1089,36,260,355,259,179
Hettinger ,ND,1073,13,246,389,220,205
Kidder ,ND,1092,17,243,431,180,221
LaMoure ,ND,1822,80,379,586,404,373
Logan ,ND,849,33,174,311,164,167
McHenry ,ND,2594,112,486,895,524,577
McIntosh ,ND,1291,63,374,446,261,147
McKenzie ,ND,4302,103,1173,1475,792,759
McLean ,ND,4334,133,899,1419,1010,873
Mercer ,ND,3709,59,644,1250,1015,741
Morton ,ND,13565,480,3243,5128,2941,1773
Mountrail ,ND,3360,178,859,1101,640,582
Nelson ,ND,1467,42,383,557,295,190
Oliver ,ND,738,16,99,226,176,221
Pembina ,ND,3158,118,757,1211,636,436
Pierce ,ND,1908,84,367,791,379,287
Ramsey ,ND,4828,505,1282,1739,971,331
Ransom ,ND,2371,119,578,769,463,442
Renville ,ND,950,19,189,347,235,160
Richland ,ND,6777,334,1784,2583,1367,709
Rolette ,ND,4608,359,1347,1553,664,685
Sargent ,ND,1864,42,452,697,339,334
Sheridan ,ND,731,23,132,274,185,117
Sioux ,ND,1112,126,358,350,125,153
Slope ,ND,326,7,27,121,78,93
Stark ,ND,12524,612,3954,4578,2029,1351
Steele ,ND,777,8,119,288,205,157
Stutsman ,ND,8908,632,2471,2981,1879,945
Towner ,ND,1058,55,300,393,175,135
Traill ,ND,3383,146,868,1266,706,397
Walsh ,ND,4780,275,1305,1775,876,549
Ward ,ND,28277,1178,8435,11312,4998,2354
Wells ,ND,1943,75,517,541,370,440
Williams ,ND,14320,762,4218,5913,1945,1482
Adams ,OH,10673,941,2876,3246,2358,1252
Allen ,OH,40650,3268,12913,14959,6347,3163
Ashland ,OH,20417,1494,5585,7624,3712,2002
Ashtabula ,OH,37832,3715,11977,14253,5518,2369
Athens ,OH,22557,1757,7543,7966,3605,1686
Auglaize ,OH,18888,829,4913,7728,3371,2047
Belmont ,OH,25919,1835,8035,9647,4113,2289
Brown ,OH,17829,1104,3941,6210,4157,2417
Butler ,OH,139113,7214,41452,56498,23198,10751
Carroll ,OH,11298,541,3059,3966,2546,1186
Champaign ,OH,15159,789,3979,5755,2930,1706
Clark ,OH,54696,4033,17754,19766,9174,3969
Clermont ,OH,78009,3724,21113,31549,14466,7157
Clinton ,OH,16528,861,5018,5924,3142,1583
Columbiana ,OH,41537,2842,13210,14871,6909,3705
Coshocton ,OH,14476,1397,4075,5123,2487,1394
Crawford ,OH,17782,1262,5893,6509,2828,1290
Cuyahoga ,OH,540965,69491,219051,182286,50841,19296
Darke ,OH,20861,1024,5592,7989,4359,1897
Defiance ,OH,15297,817,4014,6219,2816,1431
Delaware ,OH,69985,1847,15684,33371,12919,6164
Erie ,OH,31183,1960,11107,11181,4663,2272
Fairfield ,OH,56339,2669,14784,21900,11235,5751
Fayette ,OH,11773,898,3683,4276,1852,1064
Franklin ,OH,511447,38058,195416,198511,57762,21700
Fulton ,OH,16506,605,4236,6522,3230,1913
Gallia ,OH,11588,898,3241,3996,2451,1002
Geauga ,OH,35298,3212,6968,14570,6960,3588
Greene ,OH,65604,2977,20220,25771,11080,5556
Guernsey ,OH,16220,1312,4887,5823,2637,1561
Hamilton ,OH,341873,38712,124746,120552,40997,16866
Hancock ,OH,31937,1739,9788,12779,5394,2237
Hardin ,OH,11678,952,3256,4290,2123,1057
Harrison ,OH,6223,559,1574,2336,1255,499
Henry ,OH,10992,448,2970,4127,2390,1057
Highland ,OH,16772,1358,4867,5869,3016,1662
Hocking ,OH,11286,658,2980,4096,2084,1468
Holmes ,OH,12342,3763,2366,3423,1579,1211
Huron ,OH,22935,1348,6709,8669,4100,2109
Jackson ,OH,12780,863,3562,4936,2278,1141
Jefferson ,OH,27428,2602,9202,9465,4135,2024
Knox ,OH,23248,1884,5717,9182,4673,1792
Lake ,OH,96361,4390,33084,39623,13245,6019
Lawrence ,OH,23221,1508,7584,8647,3797,1685
Licking ,OH,64035,3122,17093,25414,12228,6178
Logan ,OH,18677,946,5336,7025,3469,1901
Lorain ,OH,120281,8125,39443,48297,17009,7407
Lucas ,OH,179930,18433,67647,63998,20886,8966
Madison ,OH,15013,640,3939,5588,3025,1821
Mahoning ,OH,98472,8380,35799,35544,12777,5972
Marion ,OH,24737,2273,7753,9093,3769,1849
Medina ,OH,69007,2846,17976,30508,11645,6032
Meigs ,OH,9045,650,2619,2866,1857,1053
Mercer ,OH,16234,584,4054,6627,3441,1528
Miami ,OH,41043,2241,11740,16221,7009,3832
Monroe ,OH,5745,424,1476,2035,1100,710
Montgomery ,OH,224328,21386,80791,80724,29650,11777
Morgan ,OH,6108,383,1691,2403,968,663
Morrow ,OH,12922,800,2529,4557,3362,1674
Muskingum ,OH,33878,2290,10642,12053,5855,3038
Noble ,OH,5067,424,1359,1861,920,503
Ottawa ,OH,18051,775,5286,7274,3101,1615
Paulding ,OH,7705,348,1863,3011,1521,962
Perry ,OH,13500,987,3564,4842,2562,1545
Pickaway ,OH,19710,891,5150,6886,4515,2268
Pike ,OH,10959,1054,3371,3299,1934,1301
Portage ,OH,61817,3920,19202,24033,9216,5446
Preble ,OH,16251,860,3895,6250,3264,1982
Putnam ,OH,13327,456,2806,5219,3111,1735
Richland ,OH,48449,4771,15301,17868,7346,3163
Ross ,OH,28802,1779,7720,11130,5042,3131
Sandusky ,OH,23574,1428,7235,9011,4054,1846
Scioto ,OH,29858,2481,9638,10222,5103,2414
Seneca ,OH,21648,1324,6136,8787,3756,1645
Shelby ,OH,18608,750,5115,7259,3741,1743
Stark ,OH,153460,10798,50207,58444,23218,10793
Summit ,OH,224726,18993,78891,85475,28931,12436
Trumbull ,OH,85621,6059,30295,32660,11707,4900
Tuscarawas ,OH,36631,2666,10899,13723,6357,2986
Union ,OH,20212,719,4087,8835,4364,2207
Van Wert ,OH,11544,553,3024,4598,2016,1353
Vinton ,OH,5140,377,1385,1528,1165,685
Warren ,OH,82957,2512,20520,36631,16296,6998
Washington ,OH,25197,1458,7527,9379,4432,2401
Wayne ,OH,43824,4120,11996,16560,7484,3664
Williams ,OH,15090,654,4476,6209,2574,1177
Wood ,OH,50589,2331,16473,20287,7894,3604
Wyandot ,OH,9081,406,2593,3498,1615,969
Adair ,OK,7733,571,2424,2778,1324,636
Alfalfa ,OK,1870,63,406,803,395,203
Atoka ,OK,5284,355,1574,1768,996,591
Beaver ,OK,1971,79,419,802,437,234
Beckham ,OK,7578,476,1976,3494,1240,392
Blaine ,OK,3898,135,1346,1385,664,368
Bryan ,OK,17253,1017,5478,6370,2756,1632
Caddo ,OK,10320,730,3252,3652,1779,907
Canadian ,OK,44906,1371,11461,19515,8896,3663
Carter ,OK,18339,1033,5910,7047,3143,1206
Cherokee ,OK,16665,1032,5499,5900,2907,1327
Choctaw ,OK,5971,466,2195,1957,910,443
Cimarron ,OK,977,20,297,371,209,80
Cleveland ,OK,106172,4164,32313,44107,17810,7778
Coal ,OK,2227,164,602,744,417,300
Comanche ,OK,42842,3384,14510,16655,6092,2201
Cotton ,OK,2195,164,534,830,415,252
Craig ,OK,5422,338,1636,2063,902,483
Creek ,OK,26427,956,7965,11055,4361,2090
Custer ,OK,10653,411,3371,4122,1879,870
Delaware ,OK,16739,791,5139,6633,2804,1372
Dewey ,OK,1689,44,400,546,467,232
Ellis ,OK,1614,58,397,549,343,267
Garfield ,OK,23541,951,7771,9411,3766,1642
Garvin ,OK,10447,481,3140,3870,1784,1172
Grady ,OK,19857,745,4768,8458,3917,1969
Grant ,OK,1736,11,492,702,346,185
Greer ,OK,2054,202,595,668,439,150
Harmon ,OK,1113,76,327,426,202,82
Harper ,OK,1258,53,252,480,357,116
Haskell ,OK,4931,256,1349,1854,893,579
Hughes ,OK,4132,239,2398,805,407,283
Jackson ,OK,9762,666,2961,3790,1553,792
Jefferson ,OK,2371,160,739,862,380,230
Johnston ,OK,4267,194,1320,1601,632,520
Kay ,OK,17610,1187,5974,6387,2681,1381
Kingfisher ,OK,5609,127,1409,2300,1288,485
Kiowa ,OK,3571,229,1192,1297,589,264
Latimer ,OK,4088,231,1344,1433,572,508
Le Flore ,OK,18261,1013,5894,6552,3239,1563
Lincoln ,OK,12763,509,3425,4976,2644,1209
Logan ,OK,15512,500,3896,6383,3207,1526
Love ,OK,3268,103,945,1243,608,369
McClain ,OK,14428,371,3275,5971,3060,1751
McCurtain ,OK,12646,969,3727,4561,2183,1206
McIntosh ,OK,8327,406,2676,3403,1162,680
Major ,OK,3123,103,676,1319,659,366
Marshall ,OK,6195,236,2008,2336,974,641
Mayes ,OK,15983,736,4457,5862,3145,1783
Murray ,OK,5238,230,1735,2050,758,465
Muskogee ,OK,26234,2263,8659,9349,4140,1823
Noble ,OK,4515,155,1074,1833,892,561
Nowata ,OK,4099,190,1189,1542,755,423
Okfuskee ,OK,3976,338,1351,1245,639,403
Oklahoma ,OK,301570,18164,107629,118976,40351,16450
Okmulgee ,OK,14724,989,4725,5252,2416,1342
Osage ,OK,18263,828,5198,7088,3375,1774
Ottawa ,OK,11847,745,3909,4432,1949,812
Pawnee ,OK,6179,197,1804,2314,1246,618
Payne ,OK,30788,1559,10733,11551,4697,2248
Pittsburg ,OK,17816,1191,5733,6512,2817,1563
Pontotoc ,OK,14278,761,4783,5296,2380,1058
Pottawatomie ,OK,25917,1444,8257,9984,4024,2208
Pushmataha ,OK,4477,372,1385,1463,875,382
Roger Mills ,OK,1377,34,406,449,257,231
Rogers ,OK,34755,981,8289,14030,7219,4236
