County,State,Total Households,No vehicle available,1 vehicle available,2 vehicles available,3 vehicles available,4 or more vehicles available
Berrien ,GA,7367,610,2762,2522,962,511
Bibb ,GA,58116,6871,22092,19398,6817,2938
Bleckley ,GA,4176,199,1351,1617,639,370
Brantley ,GA,6823,210,2233,2328,1271,781
Brooks ,GA,6335,410,2103,2255,1052,515
Bryan ,GA,13048,631,3066,5734,2578,1039
Bulloch ,GA,27375,1367,9942,9401,4212,2453
Burke ,GA,8193,733,2461,2732,1276,991
Butts ,GA,8279,491,2437,2892,1717,742
Calhoun ,GA,1736,148,667,522,196,203
Camden ,GA,19338,851,6136,7870,3296,1185
Candler ,GA,4013,432,1439,1262,631,249
Carroll ,GA,41903,1956,11678,16305,7604,4360
Catoosa ,GA,24778,1048,6739,10690,4558,1743
Charlton ,GA,3675,324,1071,1260,705,315
Chatham ,GA,108568,8861,39970,40855,13466,5416
Chattahoochee ,GA,2570,132,873,1145,233,187
Chattooga ,GA,9260,573,2627,3289,2009,762
Cherokee ,GA,88137,2261,20872,39625,17144,8235
Clarke ,GA,48844,4698,18157,17657,5776,2556
Clay ,GA,1242,126,468,440,143,65
Clayton ,GA,94279,7272,37321,31364,12553,5769
Clinch ,GA,2477,232,847,834,391,173
Cobb ,GA,280374,9871,88824,119666,44549,17464
Coffee ,GA,14438,1192,5343,4965,1972,966
Colquitt ,GA,15505,1254,5587,5399,2215,1050
Columbia ,GA,47215,1239,11496,21160,8450,4870
Cook ,GA,6217,444,2239,2030,1120,384
Coweta ,GA,52035,2092,13381,20523,10954,5085
Crawford ,GA,4510,211,1294,1591,884,530
Crisp ,GA,8585,1220,2703,3056,979,627
Dade ,GA,6195,354,1813,2392,1097,539
Dawson ,GA,9041,246,2170,3912,1809,904
Decatur ,GA,10084,814,3683,3568,1185,834
DeKalb ,GA,282436,24418,114006,102136,30508,11368
Dodge ,GA,7628,629,2664,2542,1272,521
Dooly ,GA,5020,559,1705,1548,679,529
Dougherty ,GA,34087,4302,13966,10634,3790,1395
Douglas ,GA,49187,1953,14153,19272,9188,4621
Early ,GA,4074,447,1413,1215,639,360
Echols ,GA,1561,45,530,532,320,134
Effingham ,GA,21172,605,5149,8890,4387,2141
Elbert ,GA,7559,737,2426,2335,1403,658
Emanuel ,GA,8387,895,2659,3058,1321,454
Evans ,GA,4020,191,1745,1319,547,218
Fannin ,GA,10408,443,2662,3955,2128,1220
Fayette ,GA,40285,1257,9226,16185,9000,4617
Floyd ,GA,35679,2841,11178,12755,6098,2807
Forsyth ,GA,76753,1228,15073,38957,15226,6269
Franklin ,GA,8460,423,2654,2711,1672,1000
Fulton ,GA,410576,44230,169509,141629,40718,14490
Gilmer ,GA,12021,569,3656,4546,2007,1243
Glascock ,GA,1108,69,247,407,244,141
Glynn ,GA,34119,2480,12465,12511,4484,2179
Gordon ,GA,20561,1358,6111,7543,3655,1894
Grady ,GA,9136,553,3014,3435,1593,541
Greene ,GA,7132,565,2146,2739,1133,549
Gwinnett ,GA,293330,9414,83217,123955,54130,22614
Habersham ,GA,15139,815,4126,5419,3255,1524
Hall ,GA,64352,3450,16783,25249,11623,7247
Hancock ,GA,2974,352,1197,773,246,406
Haralson ,GA,11259,491,3452,4015,1913,1388
Harris ,GA,12156,416,2157,5142,2631,1810
Hart ,GA,9853,460,2821,3607,1750,1215
Heard ,GA,4502,276,1163,1632,968,463
Henry ,GA,75984,1710,20869,30729,14568,8108
Houston ,GA,57056,2781,17472,24470,8318,4015
Irwin ,GA,3329,255,1335,918,602,219
Jackson ,GA,23166,1090,4987,9162,5301,2626
Jasper ,GA,5171,279,1448,1775,934,735
Jeff Davis ,GA,5279,524,2003,1764,709,279
Jefferson ,GA,5664,748,1979,1614,871,452
Jenkins ,GA,3443,366,1133,1295,459,190
Johnson ,GA,3393,324,1068,1171,509,321
Jones ,GA,10701,514,2604,4001,2544,1038
Lamar ,GA,6494,407,1646,2400,1138,903
Lanier ,GA,3714,294,1079,1548,356,437
Laurens ,GA,17142,1115,7045,5919,1931,1132
Lee ,GA,10226,284,2930,4180,1933,899
Liberty ,GA,23485,1258,8709,8872,3138,1508
Lincoln ,GA,3475,256,1163,1007,615,434
Long ,GA,5695,204,1738,2163,1232,358
Lowndes ,GA,41282,3464,14380,15892,5253,2293
Lumpkin ,GA,11570,346,3203,4852,2085,1084
McDuffie ,GA,8153,822,2194,2733,1711,693
McIntosh ,GA,6042,303,1802,2279,964,694
Macon ,GA,4696,595,1485,1677,692,247
Madison ,GA,10744,386,2574,4213,2288,1283
Marion ,GA,3408,223,939,1277,560,409
Meriwether ,GA,8051,786,2489,2625,1274,877
Miller ,GA,2333,263,743,646,475,206
Mitchell ,GA,7982,961,2538,2783,1059,641
Monroe ,GA,9760,382,2838,3502,2005,1033
Montgomery ,GA,3097,223,847,1209,462,356
Morgan ,GA,6942,314,1570,2779,1608,671
Murray ,GA,14385,669,3523,5824,2719,1650
Muscogee ,GA,72759,7596,27668,25423,8431,3641
Newton ,GA,37018,1894,9909,14396,7124,3695
Oconee ,GA,13423,310,2343,6050,3015,1705
Oglethorpe ,GA,5651,220,1501,2180,1013,737
Paulding ,GA,53299,1337,12019,22893,11088,5962
Peach ,GA,10136,1077,3326,3092,1809,832
Pickens ,GA,11868,454,2658,5023,2201,1532
Pierce ,GA,7048,304,1985,3052,1174,533
Pike ,GA,6143,160,1204,2300,1414,1065
Polk ,GA,15038,1154,4626,5247,2486,1525
Pulaski ,GA,3687,329,1156,1320,670,212
Putnam ,GA,8937,407,2465,3521,1819,725
Quitman ,GA,842,92,316,263,120,51
Rabun ,GA,6662,322,2146,2572,1020,602
Randolph ,GA,2553,330,984,775,275,189
Richmond ,GA,71400,6685,28736,22778,9208,3993
Rockdale ,GA,31076,1178,10567,11673,4859,2799
Schley ,GA,1864,116,566,631,354,197
Screven ,GA,5098,473,1459,1717,865,584
Seminole ,GA,3363,342,1263,856,622,280
Spalding ,GA,24336,1965,8202,8523,4041,1605
Stephens ,GA,9543,685,2526,3582,1825,925
Stewart ,GA,1816,296,586,578,237,119
Sumter ,GA,11510,1071,4399,3650,1684,706
Talbot ,GA,2809,248,817,711,555,478
Taliaferro ,GA,593,82,218,124,104,65
Tattnall ,GA,8241,549,2609,2702,1621,760
Taylor ,GA,3473,383,1123,1227,549,191
Telfair ,GA,4668,310,1865,1700,616,177
Terrell ,GA,3399,386,1249,1157,338,269
Thomas ,GA,17595,1165,6210,6209,2837,1174
Tift ,GA,15144,1486,5721,5113,2193,631
Toombs ,GA,10030,866,3927,2956,1512,769
Towns ,GA,4898,157,1394,2077,975,295
Treutlen ,GA,2490,217,802,887,435,149
Troup ,GA,24928,2506,8384,8159,3909,1970
Turner ,GA,3169,467,1031,1176,296,199
Twiggs ,GA,3044,297,1050,949,482,266
Union ,GA,9743,436,2889,3879,1642,897
Upson ,GA,10154,932,3187,3629,1505,901
Walker ,GA,25975,1368,7610,9709,5037,2251
Walton ,GA,31670,974,7956,13160,6190,3390
Ware ,GA,13823,1112,5208,5414,1703,386
Warren ,GA,2244,347,649,617,405,226
