State,Airport Name,Loc ID,Associated City,County,Enplane- ments2,HUB3,"Ozone
(8-Hour)4",CO,PM10  ,PM2.5,Note5,VALE Eligible,,,,,,,,,,,,,,
AL,Huntsville International-Carl T Jones Field,HSV,Huntsville,Madison,"519,785",S,,,,,,No,,,,,,,,,,,,,,
AL,Mobile Regional,MOB,Mobile,Mobile,"278,053",N,,,,,,No,,,,,,,,,,,,,,
AL,Montgomery Regional (Dannelly Field),MGM,Montgomery,Montgomery,"175,619",N,,,,,,No,,,,,,,,,,,,,,
AL,Dothan Regional,DHN,Dothan,Dale,"46,792",N,,,,,,No,,,,,,,,,,,,,,
AR,Bill and Hillary Clinton National/Adams Field,LIT,Little Rock,Pulaski,"958,510",S,,,,,,No,,,,,,,,,,,,,,
AR,Northwest Arkansas Regional,XNA,Bentonville,Benton,"629,905",S,,,,,,No,,,,,,,,,,,,,,
AR,Fort Smith Regional,FSM,Fort Smith,Sebastian,"84,136",N,,,,,,No,,,,,,,,,,,,,,
AR,Texarkana Regional-Webb Field,TXK,Texarkana,Miller,"34,881",N,,,,,,No,,,,,,,,,,,,,,
AR,Jonesboro Municipal,JBR,Jonesboro,Craighead,"4,836",None,,,,,,No,,,,,,,,,,,,,,
AR,Boone County,HRO,Harrison,Boone,"4,370",None,,,,,,No,,,,,,,,,,,,,,
AR,South Arkansas Regional at Goodwin Field,ELD,El Dorado,Union,"3,919",None,,,,,,No,,,,,,,,,,,,,,
AR,Memorial Field,HOT,Hot Springs,Garland,"2,834",None,,,,,,No,,,,,,,,,,,,,,
AS,Pago Pago International,PPG,Pago Pago,American Samoa,"65,860",N,,,,,,No,,,,,,,,,,,,,,
AZ,Phoenix Sky Harbor International,PHX,Phoenix,Maricopa,"21,351,504",L,Moderate,Maintenance,Serious,,,Yes,,,,,,,,,,,,,,
AZ,Tucson International,TUS,Tucson,Pima,"1,549,253",S,,Maintenance,Serious,,D,Yes,,,,,,,,,,,,,,
AZ,Phoenix-Mesa Gateway,IWA,Mesa,Maricopa,"666,187",S,Moderate,,,,,Yes,,,,,,,,,,,,,,
AZ,Grand Canyon National Park,GCN,Grand Canyon,Coconino,"332,050",N,,,,,,No,,,,,,,,,,,,,,
AZ,Grand Canyon West,1G4,Peach Springs,Mohave,"147,137",N,,,,,,No,,,,,,,,,,,,,,
AZ,Laughlin/Bullhead International,IFP,Bullhead City,Mohave,"108,888",N,,,Maintenance,,,Yes,,,,,,,,,,,,,,
AZ,Yuma MCAS/Yuma International,NYL,Yuma,Yuma,"79,233",N,,,Moderate,,,Yes,,,,,,,,,,,,,,
AZ,Flagstaff Pulliam,FLG,Flagstaff,Coconino,"67,419",N,,,,,,No,,,,,,,,,,,,,,
AZ,Page Municipal,PGA,Page,Coconino,"19,440",N,,,,,,No,,,,,,,,,,,,,,
AZ,Ernest A Love Field,PRC,Prescott,Yavapai,"3,428",None,,,,,,No,,,,,,,,,,,,,,
CA,Los Angeles International,LAX,Los Angeles,Los Angeles,"36,351,272",L,Extreme,Maintenance,Maintenance,Nonattainment,"A,F",Yes,,,,,,,,,,,,,,
CA,San Francisco International,SFO,San Francisco International Airport,San Mateo,"24,190,560",L,Marginal,Maintenance,,Moderate,,Yes,,,,,,,,,,,,,,
CA,San Diego International,SAN,San Diego,San Diego,"9,985,763",L,Moderate,Maintenance,,,,Yes,,,,,,,,,,,,,,
CA,Metropolitan Oakland International,OAK,Oakland,Alameda,"5,506,687",M,Marginal,Maintenance,,Moderate,,Yes,,,,,,,,,,,,,,
CA,John Wayne Airport-Orange County,SNA,Santa Ana,Orange,"4,945,209",M,Extreme,Maintenance,Maintenance,Moderate,E,Yes,,,,,,,,,,,,,,
CA,Norman Y Mineta San Jose International,SJC,San Jose,Santa Clara,"4,822,480",M,Marginal,Maintenance,,Moderate,,Yes,,,,,,,,,,,,,,
CA,Sacramento International,SMF,Sacramento,Sacramento,"4,714,729",M,Severe-15,Maintenance,Maintenance,Moderate,,Yes,,,,,,,,,,,,,,
CA,Ontario International,ONT,Ontario,San Bernardino,"2,089,801",M,Severe-15,Maintenance,Moderate,Serious,F,Yes,,,,,,,,,,,,,,
CA,Bob Hope,BUR,Burbank,Los Angeles,"1,973,897",S,Extreme,Maintenance,Maintenance,Nonattainment,"A,F",Yes,,,,,,,,,,,,,,
CA,Long Beach /Daugherty Field/,LGB,Long Beach,Los Angeles,"1,220,937",S,Extreme,Maintenance,Maintenance,Nonattainment,"A,F",Yes,,,,,,,,,,,,,,
CA,Palm Springs International,PSP,Palm Springs,Riverside,"947,728",S,Extreme,Maintenance,Maintenance,Serious,F,Yes,,,,,,,,,,,,,,
CA,Fresno Yosemite International,FAT,Fresno,Fresno,"695,008",S,Extreme,Maintenance,Maintenance,Serious,,Yes,,,,,,,,,,,,,,
CA,Santa Barbara Municipal,SBA,Santa Barbara,Santa Barbara,"316,511",N,,,,,,No,,,,,,,,,,,,,,
CA,Monterey Regional,MRY,Monterey,Monterey,"180,605",N,,,,,,No,,,,,,,,,,,,,,
CA,San Luis County Regional,SBP,San Luis Obispo,San Luis Obispo,"144,324",N,Marginal,,,,,Yes,,,,,,,,,,,,,,
CA,Charles M Schulz - Sonoma County,STS,Santa Rosa,Sonoma,"129,086",N,Marginal,Maintenance,,Moderate,,Yes,,,,,,,,,,,,,,
